industy_segment_name,pack_size_name,base_pack_design_name,base_pack_design_id,industy_segment_id,pack_size_id,product,ptr,ptd,display_mrp,mrp,alternate_category,product_erp_id,is_promoted,product_weight_in_gm
CAR,1 KG,Petha Kalam 1 Kg,DHJ2B100442B11253,Sweets_Ambient,1 KG_Sweets_Ambient,Kalam Petha 1 KG*12 KG,187.97,176.91,225,225,Petha,FH044210001200000D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1.05KG*12.6KG,202.228,190.33,265,265,Aloo Bhujia,FD092110501260000D,FALSE,0
CAR,400 GM,Petha Dry 400 Gm,DHJ2A670282B21250,Sweets_Ambient,400 GM_Sweets_Ambient,Dry Petha 400 GM*8 KG,95.238,89,120,120,Petha,FH028204000800000D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1 KG*16 KG NGP,171.7033,161.98,225,225,Aloo Bhujia,FD092110001600000D,FALSE,0
CAR,GIFT PACK,Chatpati Baatein 820 Gm,DJF2L125380B83382,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Chatpati Baatein 820 GM*9.84 KG,263.975,249.03,340,340,Gift Pack,FJ538008200984000D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1 KG*12 KG NGP,179.3346,169.18,235,235,Aloo Bhujia,FD092110001200001D,FALSE,0
CAR,1 KG,Aloo Bhujia Plain 1 Kg,ADA1A060921B10127,Namkeen_In-Home,1 KG_Namkeen_In-Home,Aloo Bhujia 1 KG*13 KG (Pouch) NGP,179.3346,169.18,235,235,Aloo Bhujia,FD092110001300000D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia (GW) 410 GM*16.4 KG,82.5893,79.28,111,111,Aloo Bhujia,FD092104101640000D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia 400+40=440 GM*17.6 KG,79.2796,74.61,103,103,Aloo Bhujia,FD092104401760000D,FALSE,0
CAR,100 GM,Chocolate Cherish Choco Crispies 80 Gm,FLB7L420211B70434,Chocolate_Frozen,100 GM_Chocolate_Frozen,Cherish Choco Crispies 80 GM*4.8 KG,70.6215,66,100,100,Chocolate,FL021100800480000D,FALSE,0
CAR,750 ML,Syrup Thandai Kesaria 750 Ml,EBL6C840878C51531,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Thandai Kesaria 750 ML*9 KG,250.154,238.24,325,325,Squash,FB087807500900000D,FALSE,0
CAR,GIFT PACK,Mazedar Kissey 615 Gm,DJF2L091010B83383,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Mazedar Kissey 615 GM*7.38 KG,182.4534,172.12,235,235,Gift Pack,FJ101006150738000D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia  420GM*16.8KG,83.944,79.01,110,110,Aloo Bhujia,FD092104201680000D,FALSE,0
CAR,800 GM,Ladoo Besan 800 Gm,DHI4B260161B60861,Sweets_Ambient,800 GM_Sweets_Ambient,Besan Ladoo 400+400 GM*16 KG,136.646,127.7,165,165,Pulses & Cereal Based Sweets,FH016108000800001D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia 400 GM*12 KG NGP,68.68,64.79,90,90,Aloo Bhujia,FD092104001200000D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia 400 GM*12.4 KG NGP,76.3126,71.99,100,100,Aloo Bhujia,FD092104001240000D,FALSE,0
CAR,400 GM,Aloo Bhujia Plain 400 Gm,ADA1A060921B20132,Namkeen_In-Home,400 GM_Namkeen_In-Home,Aloo Bhujia 400 GM*16 KG NGP,68.6813,64.79,90,90,Aloo Bhujia,FD092104001600001D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia (GW) 205 GM*16.4 KG,41.667,39.21,56,56,Aloo Bhujia,FD092102051640001D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia  210GM*16.8KG,41.972,39.5,55,55,Aloo Bhujia,FD092102101680001D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia 200+20=220 GM*17.6 KG,40.0246,37.67,52,52,Aloo Bhujia,FD092102201760001D,FALSE,0
CAR,200 GM,Heeng Jeera Peanut 200 Gm,AEI9A910401B40721,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",Heeng Jeera Peanut 200 GM*12 KG,41.972,39.5,55,55,Peanuts,FE040102001200000D,FALSE,0
CAR,750 ML,Syrup Khus 750 Ml,EBL6C840870C51518,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Khus 750 ML*9 KG,124.197,118.28,170,170,Squash,FB087007500900000D,FALSE,0
CAR,750 ML,Syrup Mango Panna 750 Ml,EBL6C840872C51520,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Mango Panna 750 ML*9 KG,130.85,124.62,170,170,Squash,FB087207500900000D,FALSE,0
CAR,400 GM,Nut Cracker 400 Gm,AEI9B730619B21079,"Nuts, Seeds, Berries_In-Home","400 GM_Nuts, Seeds, Berries_In-Home",Nut Cracker 400+40=440 GM*13.2 KG,82.3584,77.51,107,107,Peanuts,FE061904401320000D,FALSE,0
CAR,1 KG,Nut Cracker 1 Kg,AEI9B730619B11074,"Nuts, Seeds, Berries_In-Home","1 KG_Nuts, Seeds, Berries_In-Home",Nut Cracker 1 KG*12 KG,206.044,193.92,270,270,Peanuts,FE061910001200000D,FALSE,0
CAR,200 GM,Peanut Roasted (Crushed) 200 Gm,AEI9C280772B41173,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",Peanut Roasted (Crushed) 200 GM*12 KG,49.603,46.68,65,65,Peanuts,FE077202001200000D,FALSE,0
CAR,750 ML,Syrup Pineapple Crush 750 Ml,EBL6C840874C51522,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Pineapple Crush 750 ML*9 KG,130.85,124.61,170,170,Squash,FB087407500900000D,FALSE,0
CAR,MRP 5,Chikki Ramdana MRP 5,DHM8A431293A30326,Sweets_Ambient,MRP 5_Sweets_Ambient,Chikki Ramdana MRP 5|20 GM*4.8 KG,3.8095,3.56,5,5,Chikki & Gajjak,FH129300200480000D,FALSE,0
CAR,400 GM,Rasgulla 375 Gm,DHB6C160761B21311,Sweets_Ambient,400 GM_Sweets_Ambient,Rasgulla 375 GM*7.5 KG,87.7195,86,105,105,Chenna,FH076103750750000D,FALSE,0
CAR,MRP 10,Rusk (Suji) 50 Gm,EAK8C353544A14894,Bakery_Emerging,MRP 10_Bakery_Emerging,Rusk Suji MRP 10|50GM*2.7KG,7.441,6.99,10,10,Rusk/Toast,FA354400500270000D,FALSE,0
CAR,750 ML,Syrup Rose 750 Ml,EBL6C840877C51528,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Rose 750 ML*9 KG,124.1967,118.28,170,170,Squash,FB087707500900000D,FALSE,0
CAR,400 GM,Salted Peanut-400-Gm,AEI9C370812B22293,"Nuts, Seeds, Berries_In-Home","400 GM_Nuts, Seeds, Berries_In-Home",Salted Peanut 400 GM*12 KG,98.214,98.21,110,110,Peanuts,FE081204001200000D,FALSE,0
CAR,5KG,Peanut Salted,AEI9C370812D50054,"Nuts, Seeds, Berries_In-Home","5KG_Nuts, Seeds, Berries_In-Home",Salted Peanut 1 KG*12 KG,206.044,193.92,270,270,Peanuts,FE081210001200000D,FALSE,0
CAR,LARGE PACK,Rusk (Suji) 250 Gm,EAK8C353544E54895,Bakery_Emerging,LARGE PACK_Bakery_Emerging,Rusk Suji 250GM*7KG,35.714,33.53,45,45,Rusk/Toast,FA354402500700000D,FALSE,0
CAR,1 KG,Soan Papdi Desi Ghee 1 Kg,DHL4C530836B11413,Sweets_Ambient,1 KG_Sweets_Ambient,Soan Papdi Desi Ghee 1 KG*10 KG,350.877,331.02,420,420,Soan Papdi,FH083610001000000D,FALSE,0
CAR,400 GM,Soan Papdi Cow Ghee 400 Gm,DHL4D660835B21410,Sweets_Ambient,400 GM_Sweets_Ambient,Soan Papdi Cow Ghee 400 GM*8 KG (MT),323.81,323.81,330,330,Soan Papdi,FH083504000800000D,FALSE,0
CAR,800 GM,Soan Papdi Cow Ghee 800 Gm,DHL4D660835B61412,Sweets_Ambient,800 GM_Sweets_Ambient,Soan Papdi Cow Ghee 400+400 GM*8 KG,275.689,273.42,330,330,Soan Papdi,FH083508000800000D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia Plain 200GM*11KG NGP,41.9719,39.59,55,55,Aloo Bhujia,FD092102001100000D,FALSE,0
CAR,750 ML,Syrup Badam Kesaria 750 Ml,EBL6C840868C51515,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Badam Kesaria 750 ML*9 KG,230.9117,219.91,300,300,Squash,FB086807500900000D,FALSE,0
CAR,750 ML,Syrup Lemon Crush 750 Ml,EBL6C840871C51519,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Lemon Crush 750 ML*9 KG,130.85,124.61,170,170,Squash,FB087107500900000D,FALSE,0
CAR,750 ML,Syrup Orange Crush 750 Ml,EBL6C840873C51521,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Orange Crush 750 ML*9 KG,130.85,124.61,170,170,Squash,FB087307500900000D,FALSE,0
CAR,200 GM,Gup Shup Peanut 200 Gm,AEI9A840392B40682,"Nuts, Seeds, Berries_In-Home","200 GM_Nuts, Seeds, Berries_In-Home",Gup Shup Peanut 200 GM*12 KG,42.735,40.22,56,56,Peanuts,FE039202001200000D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia 200+20=220 GM*12.1 KG NGP,41.9719,39.59,55,55,Aloo Bhujia,FD092102201210000D,FALSE,0
CAR,750 ML,Syrup Combo 750 Ml,EBL6C840869C51516,Beverages_Emerging,750 ML_Beverages_Emerging,Syrup Combo 750 ML*6 KG,219.2966,205.25,295,295,Squash,FB086907500600000D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia 200+20=220 GM*16.5 KG NGP,41.9719,39.59,55,55,Aloo Bhujia,FD092102201650000D,FALSE,0
CAR,200 GM,Aloo Bhujia Plain 200 Gm,ADA1A060921B40130,Namkeen_In-Home,200 GM_Namkeen_In-Home,Aloo Bhujia Plain 220GM*11KG NGP,41.9719,39.59,55,55,Aloo Bhujia,FD092102201100000D,FALSE,0
CAR,200 GM,Khara Boondi 200 Gm,ADA4A200457B40806,Namkeen_In-Home,200 GM_Namkeen_In-Home,Khara Boondi 200 GM*8 KG NGP,39.6825,37.43,52,52,Besan Namkeen,FD045702000800000D,FALSE,0
CAR,200 GM,Khara Boondi 200 Gm,ADA4A200457B40806,Namkeen_In-Home,200 GM_Namkeen_In-Home,Khara Boondi 200 GM*10 KG NGP,41.9719,39.59,55,55,Besan Namkeen,FD045702001000000D,FALSE,0
CAR,200 GM,Gathiya 200 Gm,ADA4A760374B40628,Namkeen_In-Home,200 GM_Namkeen_In-Home,Gathiya 200 GM*8 KG,41.972,39.5,55,55,Besan Namkeen,FD037402000800000D,FALSE,0
CAR,200 GM,Gathiya 200 Gm,ADA4A760374B40628,Namkeen_In-Home,200 GM_Namkeen_In-Home,Gathiya 200 GM*9.6 KG NGP,34.3407,32.39,45,45,Besan Namkeen,FD037402000960000D,FALSE,0
CAR,1 KG,Bhujia 1 Kg,ADA5A160922B11668,Namkeen_In-Home,1 KG_Namkeen_In-Home,Bhujia 1 KG*12 KG,221.307,208.29,290,290,Bhujia Sev,FD092210001200001D,FALSE,0
CAR,1 KG,Bhujia 1 Kg,ADA5A160922B11668,Namkeen_In-Home,1 KG_Namkeen_In-Home,Bhujia (GW) 1.025 KG*12.3 KG,219.4941,206.58,295,295,Bhujia Sev,FD092210251230000D,FALSE,0
CAR,1 KG,Bhujia 1 Kg,ADA5A160922B11668,Namkeen_In-Home,1 KG_Namkeen_In-Home,Bhujia 1 KG*12 KG NGP,221.3065,208.77,290,290,Bhujia Sev,FD092210001200002D,FALSE,0
CAR,1 KG,Bhujia 1 Kg,ADA5A160922B11668,Namkeen_In-Home,1 KG_Namkeen_In-Home,Bhujia 1 KG*16 KG NGP,198.4127,187.18,260,260,Bhujia Sev,FD092210001600000D,FALSE,0
CAR,400 GM,Bhujia 400 Gm,ADA5A160922B21672,Namkeen_In-Home,400 GM_Namkeen_In-Home,Bhujia 400 GM*16 KG,91.575,86.19,120,120,Bhujia Sev,FD092204001600001D,FALSE,0
CAR,400 GM,Bhujia 400 Gm,ADA5A160922B21672,Namkeen_In-Home,400 GM_Namkeen_In-Home,Bhujia (GW) 410 GM*16.4 KG,88.542,83.33,119,119,Bhujia Sev,FD092204101640000D,FALSE,0
CAR,400 GM,Bhujia 400 Gm,ADA5A160922B21672,Namkeen_In-Home,400 GM_Namkeen_In-Home,Bhujia 400 GM*16 KG NGP,80.1282,75.59,105,105,Bhujia Sev,FD092204001600002D,FALSE,0
CAR,400 GM,Bhujia 400 Gm,ADA5A160922B21672,Namkeen_In-Home,400 GM_Namkeen_In-Home,Bhujia 400 GM*12 KG NGP,91.5751,86.39,120,120,Bhujia Sev,FD092204001200000D,FALSE,0
CAR,GIFT PACK,Lamhe La Jawaab 820 Gm,DJF2L095381B83384,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Lamhe La Jawaab 820 GM*8.2 KG,387.422,365.49,499,499,Gift Pack,FJ538108200820000D,FALSE,0
CAR,GIFT PACK,Mazedaar Moments 920 Gm,DJF2L095382B83385,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Mazedaar Moments 920 GM*9.2 KG,348.602,328.87,449,449,Gift Pack,FJ538209200920000D,FALSE,0
CAR,200 GM,Bhujia 200 Gm,ADA5A160922B41670,Namkeen_In-Home,200 GM_Namkeen_In-Home,Bhujia 200 GM*16 KG,45.787,43.09,60,60,Bhujia Sev,FD092202001600001D,FALSE,0
CAR,200 GM,Bhujia 200 Gm,ADA5A160922B41670,Namkeen_In-Home,200 GM_Namkeen_In-Home,Bhujia (GW) 205 GM*16.4 KG,44.643,42.01,60,60,Bhujia Sev,FD092202051640000D,FALSE,0
CAR,200 GM,Bhujia 200 Gm,ADA5A160922B41670,Namkeen_In-Home,200 GM_Namkeen_In-Home,Bhujia 200 GM*16 KG NGP,41.9719,39.59,55,55,Bhujia Sev,FD092202001600002D,FALSE,0
CAR,200 GM,Bhujia 200 Gm,ADA5A160922B41670,Namkeen_In-Home,200 GM_Namkeen_In-Home,Bhujia 200 GM*12 KG NGP,45.7875,43.19,60,60,Bhujia Sev,FD092202001200000D,FALSE,0
CAR,800 GM,Bhujia 600 Gm,ADA5A160922B61679,Namkeen_In-Home,800 GM_Namkeen_In-Home,Bhujia 600 GM*9.6 KG NGP,133.547,125.98,175,175,Bhujia Sev,FD092206000960000D,FALSE,0
CAR,GIFT PACK,Triple Treat 405 Gm,DJF2L091243B83387,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Triple Treat 405 GM*8.1 KG,116.4596,109.86,150,150,Gift Pack,FJ124304050810000D,FALSE,0
CAR,GIFT PACK,Double Maza 1.42 Kg,DJF2L095384B83388,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Double Maza 1.42 KG*11.36 KG,419.255,395.52,540,540,Gift Pack,FJ538414201136000D,FALSE,0
CAR,GIFT PACK,Kabhi Khatta Kabhi Meetha 632 Gm,DJF2L095379B83389,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Kabhi Khatta Kabhi Meetha632GM*6.32KG,283.3851,267.34,365,365,Gift Pack,FJ537906320632000D,FALSE,0
CAR,800 GM,Bhujia 600 Gm,ADA5A160922B61679,Namkeen_In-Home,800 GM_Namkeen_In-Home,Bhujia 600 GM*14.4 KG NGP,118.2845,111.58,155,155,Bhujia Sev,FD092206001440000D,FALSE,0
CAR,400 GM,Gulab Jamun 420 Gm,DHB6A830390B20667,Sweets_Ambient,400 GM_Sweets_Ambient,Gulab Jamun 420 GM*8.4 KG,100.2505,94.35,120,120,Chenna,FH039004200840000D,FALSE,0
CAR,800 GM,Bhujia 600 Gm,ADA5A160922B61679,Namkeen_In-Home,800 GM_Namkeen_In-Home,Bhujia 600 GM*12 KG NGP,133.547,125.98,175,175,Bhujia Sev,FD092206001200000D,FALSE,0
CAR,MRP 30,Falahari Chiwda150Gm,ADC7A680285A41794,Namkeen_In-Home,MRP 30_Namkeen_In-Home,Falahari Chiwda150Gm|150 GM*14.85 KG NGP,22.8938,21.59,30,30,Falahari,FD028501501485000D,FALSE,0
CAR,MRP 30,Falahari Chiwda150Gm,ADC7A680285A41794,Namkeen_In-Home,MRP 30_Namkeen_In-Home,Falahari Chiwda MRP 30|150GM*16.2KG NGP,22.8938,21.59,30,30,Falahari,FD028501501620000D,FALSE,0
CAR,GIFT PACK,Mazedar Kissey 565 Gm,DJF2L091010B83391,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Mazedar Kissey 565 GM*6.78 KG,198.9683,187.7,270,270,Gift Pack,FJ101005650678000D,FALSE,0
CAR,200 GM,Falahari Chiwda 200 Gm,ADC7A680285B40587,Namkeen_In-Home,200 GM_Namkeen_In-Home,Falahari Chiwda 200 GM*12 KG,41.972,39.5,55,55,Falahari,FD028502001200002D,FALSE,0
CAR,MRP 10,Peanut Roasted Crunchy MRP 10,BEI9C370813A12456,"Nuts, Seeds, Berries_Out of Home","MRP 10_Nuts, Seeds, Berries_Out of Home",Salted Peanut (Roasted)MRP10|35GM*10.5KG,7.4999,7,10,10,Peanuts,FE081300351050000D,FALSE,0
CAR,200 GM,Falahari Chiwda 200 Gm,ADC7A680285B40587,Namkeen_In-Home,200 GM_Namkeen_In-Home,Falahari Chiwda 200 GM*12 KG NGP,38.1563,35.99,50,50,Falahari,FD028502001200001D,FALSE,0
CAR,200 GM,Falahari Chiwda 200 Gm,ADC7A680285B40587,Namkeen_In-Home,200 GM_Namkeen_In-Home,Falahari Chiwda 200 GM*14.4 KG NGP,35.8669,33.83,47,47,Falahari,FD028502001440000D,FALSE,0
CAR,MRP 30,Aloo Lachha 100 Gm,ADG6B250132A40137,Namkeen_In-Home,MRP 30_Namkeen_In-Home,Aloo Lachha Salted 100 GM*7.5 KG,22.8938,21.59,30,30,Lachha,FD013201000750000D,FALSE,0
CAR,MRP 30,Aloo Lachha 100 Gm,ADG6B250132A40137,Namkeen_In-Home,MRP 30_Namkeen_In-Home,Aloo Lachha100Gm|100 GM*6 KG,22.8938,21.59,30,30,Lachha,FD013201000600000D,FALSE,0
CAR,150 GM,Lite Chiwda150Gm,ADG9B300479D21811,Namkeen_In-Home,150 GM_Namkeen_In-Home,Lite Chiwda 150GM*10.8KG NGP,19.0781,17.99,25,25,Lite Namkeen,FD047901501080000D,FALSE,0
CAR,150 GM,Lite Chiwda150Gm,ADG9B300479D21811,Namkeen_In-Home,150 GM_Namkeen_In-Home,Lite Chiwda150Gm|150 GM*12 KG NGP,19.0781,17.99,25,25,Lite Namkeen,FD047901501200000D,FALSE,0
CAR,150 GM,Lite Sev Murmura 150 Gm,ADG9B350486D20914,Namkeen_In-Home,150 GM_Namkeen_In-Home,Lite Murmura 150 GM*9 KG,30.525,28.73,40,40,Lite Namkeen,FD048601500900000D,FALSE,0
CAR,150 GM,Lite Sev Murmura 150 Gm,ADG9B350486D20914,Namkeen_In-Home,150 GM_Namkeen_In-Home,Lite Sev Murmura 150 GM*8.4 KG,30.525,28.72,40,40,Lite Namkeen,FD048601500840000D,FALSE,0
CAR,400 GM,Cornflakes Mixture 350 Gm,ADH9A540255B20546,Namkeen_In-Home,400 GM_Namkeen_In-Home,Cornflakes Mixture 350 GM*10.5 KG NGP,103.022,97.19,135,135,Mixture-Premium,FD025503501050000D,FALSE,0
CAR,400 GM,Cornflakes Mixture 350 Gm,ADH9A540255B20546,Namkeen_In-Home,400 GM_Namkeen_In-Home,Cornflakes Mixture 350 GM*14 KG NGP,95.3907,89.99,125,125,Mixture-Premium,FD025503501400000D,FALSE,0
CAR,400 GM,Cornflakes Mixture 400 Gm,ADH9A540255B20547,Namkeen_In-Home,400 GM_Namkeen_In-Home,Cornflakes Mixture 400 GM*12 KG,119.3107,112.29,151,151,Mixture-Premium,FD025504001200000D,FALSE,0
CAR,400 GM,Cornflakes Mixture 400 Gm,ADH9A540255B20547,Namkeen_In-Home,400 GM_Namkeen_In-Home,Cornflakes Mixture 400 GM*14 KG,122.1,115.19,160,160,Mixture-Premium,FD025504001400000D,FALSE,0
CAR,1 KG,Mohan Bhog 1 Kg,DHB6B650600B11025,Sweets_Ambient,1 KG_Sweets_Ambient,Mohan Bhog 1 KG*12 KG,225.564,212.29,270,270,Chenna,FH060010001200000D,FALSE,0
CAR,200 GM,Cornflakes Mixture 200 Gm,ADH9A540255B40545,Namkeen_In-Home,200 GM_Namkeen_In-Home,Cornflakes Mixture 200 GM*12 KG,61.05,57.59,80,80,Mixture-Premium,FD025502001200001D,FALSE,0
CAR,200 GM,Cornflakes Mixture 200 Gm,ADH9A540255B40545,Namkeen_In-Home,200 GM_Namkeen_In-Home,Cornflakes Mixture 200 GM*12 KG NGP,61.0501,57.59,80,80,Mixture-Premium,FD025502001200002D,FALSE,0
CAR,400 GM,Kashmiri Mixture 400 Gm,ADH9B120448B20796,Namkeen_In-Home,400 GM_Namkeen_In-Home,Kashmiri Mixture 400GM*6.4KG,133.547,125.98,175,175,Mixture-Premium,FD044804000640000D,FALSE,0
CAR,400 GM,Kashmiri Mixture 400 Gm,ADH9B120448B20796,Namkeen_In-Home,400 GM_Namkeen_In-Home,Kashmiri Mixture 400 GM*12 KG,133.547,125.99,175,175,Mixture-Premium,FD044804001200000D,FALSE,0
CAR,200 GM,Kashmiri Mixture 200 Gm,ADH9B120448B40795,Namkeen_In-Home,200 GM_Namkeen_In-Home,Kashmiri Mixture 200GM*6KG,68.681,64.79,90,90,Mixture-Premium,FD044802000600000D,FALSE,0
CAR,200 GM,Kashmiri Mixture 200 Gm,ADH9B120448B40795,Namkeen_In-Home,200 GM_Namkeen_In-Home,Kashmiri Mixture 200 GM*12 KG,68.681,64.79,90,90,Mixture-Premium,FD044802001200000D,FALSE,0
CAR,GIFT PACK,Sweet & Spicy 455 Gm,DJF2L095385B83392,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Sweet & Spicy 455 GM*4.55 KG,239.4989,225.94,325,325,Gift Pack,FJ538504550455000D,FALSE,0
CAR,200 GM,Panchrattan 200 Gm,ADH9L140631B41125,Namkeen_In-Home,200 GM_Namkeen_In-Home,Panchrattan 200 GM*16 KG,76.313,71.99,100,100,Mixture-Premium,FD063102001600001D,FALSE,0
CAR,200 GM,Panchrattan 200 Gm,ADH9L140631B41125,Namkeen_In-Home,200 GM_Namkeen_In-Home,Panchrattan 200 GM*12 KG NGP,69.8758,65.92,90,90,Mixture-Premium,FD063102001200000D,FALSE,0
CAR,GIFT PACK,Double Mithaas 2.25 Kg,DJF2D475386B83396,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Double Mithaas 2.25 KG*13.5 KG,434.7827,410.17,525,525,Gift Pack,FJ538622501350000D,FALSE,0
CAR,GIFT PACK,Sweet Treats 1 Kg,DJF2D475387B83397,Gift Pack_Ambient,GIFT PACK_Gift Pack_Ambient,GP-Sweet Treats 1 KG*8 KG,223.6025,210.94,270,270,Gift Pack,FJ538710000800000D,FALSE,0
